ItemID	ItemName	ItemViewURL	PictureURL	Category	CategoryID	Decription	SKU	StartDate	EndDate	Price	Length	Width	Height	WeightUnit	
	Mercedes Benz R Class W251 2006-Current Windscreen Wiper Blades-AeroTech Design 	http://www.ebay.com.au/itm/Mercedes-Benz-R-Class-W251-2006-Current-Windscreen-Wiper-Blades-AeroTech-Design-/190977479064	http://i.ebayimg.com/00/s/MTc1WDI4OA==/z/KZEAAOxydB1SjZPr/$_1.JPG?set_id=8800004005	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ102-MER2822	21-Nov-2013	21-Mar-2014	0.00	72	5	4	Kgs	
	HOLDEN COMMODORE GAS BONNET+BOOT STRUTS-VT VX VU VY VZ (NO SPOILER) 2 x NEW PAIR	http://www.ebay.com.au/itm/HOLDEN-COMMODORE-GAS-BONNET-BOOT-STRUTS-VT-VX-VU-VY-VZ-NO-SPOILER-2-x-NEW-PAIR-/200978447136	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/LMAAAOxy3NBSeurZ/$T2eC16JHJIcFHOflUci)BSeurY45bw~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		114097+4141	23-Oct-2013	22-Mar-2014	0.00				Kgs	
	Car Gas Strut Template 1	http://www.ebay.com.au/itm/Car-Gas-Strut-Template-1-/190940488908		Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		Template	23-Oct-2013	22-Mar-2014	0.00				Kgs	
	HOLDEN COMMODORE GAS BONNET+BOOT STRUTS-VT VX VU VY VZ (WITH SPOILER) 2xNEW PAIR	http://www.ebay.com.au/itm/HOLDEN-COMMODORE-GAS-BONNET-BOOT-STRUTS-VT-VX-VU-VY-VZ-WITH-SPOILER-2xNEW-PAIR-/190940493174	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/cOoAAOxyA9dSZ2q4/$(KGrHqUOKooFJNz,BOE2BSZ2q3q4zw~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		114097+4140	23-Oct-2013	22-Mar-2014	0.00				Kgs	
	MAZDA 3 TAILGATE STRUTS (THE PAIR). 2005 to 2007	http://www.ebay.com.au/itm/MAZDA-3-TAILGATE-STRUTS-THE-PAIR-2005-2007-/191076708885	http://i.ebayimg.com/00/s/MTc1WDI4Nw==/z/z7gAAOxyYSdTBbec/$_1.JPG?set_id=8800004005	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		116211	20-Feb-2014	22-Mar-2014	0.00				Kgs	
	Bonnet Gas Strut Bolt Kit - HOLDEN COMMODORE VB VC VH VK VL (NEW) 	http://www.ebay.com.au/itm/Bonnet-Gas-Strut-Bolt-Kit-HOLDEN-COMMODORE-VB-VC-VH-VK-VL-NEW-/201007966622	http://i.ebayimg.com/00/s/ODMwWDExMTA=/z/yXQAAOxycmBSu0UT/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		11VBVLKIT-Bolts	22-Dec-2013	22-Mar-2014	0.00	10	1	1	Kgs	
	VT-VU-VX-VY Holden Commodore V6 Ecotech Fuel Injectors	http://www.ebay.com.au/itm/VT-VU-VX-VY-Holden-Commodore-V6-Ecotech-Fuel-Injectors-/201024528755	http://i.ebayimg.com/00/s/MTAyNFg2Nzg=/z/KVgAAMXQVERS33-e/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Fuel Injectors	33554		201002	22-Jan-2014	23-Mar-2014	0.00	15	10	3	Kgs	
	FORD FALCON AU FUEL INJECTORS 6CYL - BRAND NEW	http://www.ebay.com.au/itm/FORD-FALCON-AU-FUEL-INJECTORS-6CYL-BRAND-NEW-/191046787478	http://i.ebayimg.com/00/s/MTE4NVgxMzk1/z/j8oAAOxyOlhS34Bw/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Fuel Injectors	33554		201003	22-Jan-2014	23-Mar-2014	0.00				Kgs	
	Car Wiper Template 1	http://www.ebay.com.au/itm/Car-Wiper-Template-1-/200978918569		Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		Template	24-Oct-2013	23-Mar-2014	0.00	72	5	4	Kgs	
	Honda JAZZ GE 2008 - on  Windscreen Wiper Blades- AeroTech Teflon Rubber Design 	http://www.ebay.com.au/itm/Honda-JAZZ-GE-2008-Windscreen-Wiper-Blades-AeroTech-Teflon-Rubber-Design-/200992846624	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/9rYAAOxyXDhSkmdu/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHT807-HON2614	24-Nov-2013	24-Mar-2014	0.00	72	5	4	Kgs	
	Toyota Aurion 2006-12 (GSV40+R) Windscreen Wiper Blades- AeroTech Teflon Design	http://www.ebay.com.au/itm/Toyota-Aurion-2006-12-GSV40-R-Windscreen-Wiper-Blades-AeroTech-Teflon-Design-/190981070848	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/fYoAAOxyzi9SkYTG/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHT808-TOY2420	24-Nov-2013	24-Mar-2014	0.00	72	5	4	Kgs	
	Ford Territory SX SY 2WD 4WD 04-10  Windscreen Wiper Blades AeroTech Design	http://www.ebay.com.au/itm/Ford-Territory-SX-SY-2WD-4WD-04-10-Windscreen-Wiper-Blades-AeroTech-Design-/200994095316	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/-xgAAOxygj5Sk83G/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHT808-FOR2222	25-Nov-2013	25-Mar-2014	0.00	72	5	4	Kgs	
	BMW 3 Series 2010-12 (E90 series) Windscreen Wiper Blades AeroTech Teflon Design	http://www.ebay.com.au/itm/BMW-3-Series-2010-12-E90-series-Windscreen-Wiper-Blades-AeroTech-Teflon-Design-/200994099355	http://i.ebayimg.com/00/s/MTY2WDMwMw==/z/P2cAAOxy3zNSk8-~/$_1.JPG?set_id=8800005007	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ102-BMW2418	25-Nov-2013	25-Mar-2014	0.00	72	5	4	Kgs	
